make,model,year,overall_rating,frontal_crash,side_crash,rollover,safety_concern,model,1,2,3,,,,
Audi,Q5 SUV AWD Later Release,2018,4.7,5,5,4,FALSE,Q5,SUV,AWD,Later,Release,,,
Audi,A3 4 DR FWD,2020,4.3,4,5,4,FALSE,A3,4,DR,FWD,,,,
Audi,S3 4 DR AWD,2020,4.3,4,5,4,FALSE,S3,4,DR,AWD,,,,
Audi,A4 4 DR FWD,2020,4.7,4,5,5,FALSE,A4,4,DR,FWD,,,,
Audi,A5 Sportback 4 DR AWD,2020,4.7,4,5,5,FALSE,A5,Sportback,4,DR,AWD,,,
Audi,A6 allroad SW AWD,2020,4.7,4,5,5,FALSE,A6,allroad,SW,AWD,,,,
Audi,A6 4 DR FWD,2020,4.7,4,5,5,FALSE,A6,4,DR,FWD,,,,
Audi,Q3 SUV AWD,2020,4.3,4,5,4,FALSE,Q3,SUV,AWD,,,,,
Audi,e-tron SUV AWD,2019,4.7,4,5,5,FALSE,e-tron,SUV,AWD,,,,,
Audi,Q5 SUV AWD,2020,4.7,5,5,4,FALSE,Q5,SUV,AWD,,,,,
Audi,Q8 SUV AWD,2020,4.7,5,5,4,FALSE,Q8,SUV,AWD,,,,,
Audi,e-tron SUV AWD,2020,4.7,4,5,5,FALSE,e-tron,SUV,AWD,,,,,
Audi,e-tron Sportback SUV AWD,2020,4.7,4,5,5,FALSE,e-tron,Sportback,SUV,AWD,,,,
Audi,A3 4 DR AWD,2020,4.3,4,5,4,FALSE,A3,4,DR,AWD,,,,
Audi,A4 4 DR AWD,2020,4.7,4,5,5,FALSE,A4,4,DR,AWD,,,,
Audi,A6 4 DR AWD,2020,4.7,4,5,5,FALSE,A6,4,DR,AWD,,,,
Audi,A4 4 DR AWD,2019,4.7,4,5,5,FALSE,A4,4,DR,AWD,,,,
Audi,A4 4 DR FWD,2019,4.7,4,5,5,FALSE,A4,4,DR,FWD,,,,
Audi,A5 Sportback 4 DR AWD,2019,4.7,4,5,5,FALSE,A5,Sportback,4,DR,AWD,,,
Audi,A6 4 DR FWD,2019,4.7,4,5,5,FALSE,A6,4,DR,FWD,,,,
Audi,A6 4 DR AWD,2019,4.7,4,5,5,FALSE,A6,4,DR,AWD,,,,
